"Characteristic","Bitcoin price index in U.S. dollars"
"Aug 22, 2024","60,381.91"
"Aug 21, 2024","61,175.19"
"Aug 20, 2024","59,012.79"
"Aug 19, 2024","59,493.45"
"Aug 18, 2024","58,483.96"
"Aug 17, 2024","59,478.97"
"Aug 16, 2024","58,894.11"
"Aug 15, 2024","57,560.1"
"Aug 14, 2024","58,737.27"
"Aug 13, 2024","60,609.57"
"Aug 12, 2024","59,354.52"
"Aug 11, 2024","58,719.48"
"Aug 10, 2024","60,945.81"
"Aug 9, 2024","60,880.11"
"Aug 8, 2024","61,710.14"
"Aug 7, 2024","55,027.46"
"Aug 6, 2024","56,034.32"
"Aug 5, 2024","53,991.46"
"Aug 4, 2024","58,116.98"
"Aug 3, 2024","60,680.09"
"Aug 2, 2024","61,415.07"
"Aug 1, 2024","65,357.5"
"Jul 31, 2024","64,619.25"
"Jul 30, 2024","66,201.02"
"Jul 29, 2024","66,819.91"
"Jul 28, 2024","68,255.87"
"Jul 27, 2024","67,813.34"
"Jul 26, 2024","67,912.06"
"Jul 25, 2024","65,777.23"
"Jul 24, 2024","65,372.13"
"Jul 23, 2024","65,927.67"
"Jul 22, 2024","67,585.25"
"Jul 21, 2024","68,154.52"
"Jul 20, 2024","67,163.65"
"Jul 19, 2024","66,710.16"
"Jul 18, 2024","63,974.07"
"Jul 17, 2024","64,118.79"
"Jul 16, 2024","65,097.15"
"Jul 15, 2024","64,870.15"
"Jul 14, 2024","60,787.79"
"Jul 13, 2024","59,231.95"
"Jul 12, 2024","57,899.46"
"Jul 11, 2024","57,344.91"
"Jul 10, 2024","57,742.5"
"Jul 9, 2024","58,009.23"
"Jul 8, 2024","56,705.1"
"Jul 7, 2024","55,849.11"
"Jul 6, 2024","58,303.54"
"Jul 5, 2024","56,662.38"
"Jul 4, 2024","56,977.7"
"Jul 3, 2024","60,173.92"
"Jul 2, 2024","62,029.02"
"Jul 1, 2024","62,851.98"
"Jun 30, 2024","62,678.29"
"Jun 29, 2024","60,887.38"
"Jun 28, 2024","60,320.14"
"Jun 27, 2024","61,604.8"
"Jun 26, 2024","60,811.28"
"Jun 25, 2024","61,804.64"
"Jun 24, 2024","60,277.41"
"Jun 23, 2024","63,180.8"
"Jun 22, 2024","64,252.58"
"Jun 21, 2024","64,096.2"
"Jun 20, 2024","64,828.66"
"Jun 19, 2024","64,960.3"
"Jun 18, 2024","65,140.75"
"Jun 17, 2024","66,490.3"
"Jun 16, 2024","66,639.05"
"Jun 15, 2024","66,191"
"Jun 14, 2024","66,011.09"
"Jun 13, 2024","66,756.4"
"Jun 12, 2024","68,241.19"
"Jun 11, 2024","67,332.03"
"Jun 10, 2024","69,512.28"
"Jun 9, 2024","69,647.99"
"Jun 8, 2024","69,305.77"
"Jun 7, 2024","69,342.59"
"Jun 6, 2024","70,757.16"
"Jun 5, 2024","71,082.82"
"Jun 4, 2024","70,567.77"
"Jun 3, 2024","68,804.78"
"Jun 2, 2024","67,751.6"
"Jun 1, 2024","67,706.94"
"May 31, 2024","67,491.41"
"May 30, 2024","68,364.99"
"May 29, 2024","67,578.09"
"May 28, 2024","68,296.22"
"May 27, 2024","69,394.55"
"May 26, 2024","68,518.09"
"May 25, 2024","69,265.95"
"May 24, 2024","68,526.1"
"May 23, 2024","67,929.56"
"May 22, 2024","69,122.34"
"May 21, 2024","70,136.53"
"May 20, 2024","71,448.2"
"May 19, 2024","66,278.37"
"May 18, 2024","66,940.8"
"May 17, 2024","67,051.88"
"May 16, 2024","65,231.58"
"May 15, 2024","66,267.49"
"May 14, 2024","61,552.79"
"May 13, 2024","62,901.45"
"May 12, 2024","61,448.39"
"May 11, 2024","60,793.71"
"May 10, 2024","60,792.78"
"May 9, 2024","63,049.96"
"May 8, 2024","61,187.94"
"May 7, 2024","62,334.82"
"May 6, 2024","63,161.95"
"May 5, 2024","64,031.13"
"May 4, 2024","63,891.47"
"May 3, 2024","62,889.84"
"May 2, 2024","59,123.43"
"May 1, 2024","58,254.01"
"Apr 30, 2024","60,636.86"
"Apr 29, 2024","63,841.12"
"Apr 28, 2024","63,113.23"
"Apr 27, 2024","63,419.14"
"Apr 26, 2024","63,755.32"
"Apr 25, 2024","64,481.71"
"Apr 24, 2024","64,276.9"
"Apr 23, 2024","66,407.27"
"Apr 22, 2024","66,837.68"
"Apr 21, 2024","64,926.64"
"Apr 20, 2024","64,994.44"
"Apr 19, 2024","63,843.57"
"Apr 18, 2024","63,512.75"
"Apr 17, 2024","61,276.69"
"Apr 16, 2024","63,811.86"
"Apr 15, 2024","63,426.21"
"Apr 14, 2024","65,738.73"
"Apr 13, 2024","63,821.47"
"Apr 12, 2024","67,195.87"
"Apr 11, 2024","70,060.61"
"Apr 10, 2024","70,587.88"
"Apr 9, 2024","69,139.02"
"Apr 8, 2024","71,631.36"
"Apr 7, 2024","69,362.55"
"Apr 6, 2024","68,896.11"
"Apr 5, 2024","67,837.64"
"Apr 4, 2024","68,508.84"
"Apr 3, 2024","65,980.81"
"Apr 2, 2024","65,446.97"
"Apr 1, 2024","69,702.15"
"Mar 31, 2024","71,333.65"
"Mar 30, 2024","69,645.3"
"Mar 29, 2024","69,892.83"
"Mar 28, 2024","70,744.95"
"Mar 27, 2024","69,455.34"
"Mar 26, 2024","69,987.84"
"Mar 25, 2024","69,958.81"
"Mar 24, 2024","67,234.17"
"Mar 23, 2024","64,062.2"
"Mar 22, 2024","63,778.76"
"Mar 21, 2024","65,491.39"
"Mar 20, 2024","67,913.67"
"Mar 19, 2024","61,912.77"
"Mar 18, 2024","67,548.59"
"Mar 17, 2024","68,390.62"
"Mar 16, 2024","65,315.12"
"Mar 15, 2024","69,403.77"
"Mar 14, 2024","71,396.59"
"Mar 13, 2024","73,083.5"
"Mar 12, 2024","71,481.29"
"Mar 11, 2024","72,123.91"
"Mar 10, 2024","69,019.79"
"Mar 9, 2024","68,498.88"
"Mar 8, 2024","68,300.09"
"Mar 7, 2024","66,925.48"
"Mar 6, 2024","66,106.8"
"Mar 5, 2024","63,801.2"
"Mar 4, 2024","68,330.41"
"Mar 3, 2024","63,167.37"
"Mar 2, 2024","62,029.85"
"Mar 1, 2024","62,440.63"
"Feb 29, 2024","61,198.38"
"Feb 28, 2024","62,504.79"
"Feb 27, 2024","57,085.37"
"Feb 26, 2024","54,522.4"
"Feb 25, 2024","51,733.24"
"Feb 24, 2024","51,571.1"
"Feb 23, 2024","50,731.95"
"Feb 22, 2024","51,304.97"
"Feb 21, 2024","51,839.18"
"Feb 20, 2024","52,284.88"
"Feb 19, 2024","51,779.14"
"Feb 18, 2024","52,122.55"
"Feb 17, 2024","51,663"
"Feb 16, 2024","52,160.2"
"Feb 15, 2024","51,938.55"
"Feb 14, 2024","51,826.7"
